trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.43062927779474,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-65.24849678695807,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-252.16460496982617,"{0: 5, 1: 8, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-93.20970596123746,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-137.34922360958564,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-78.52386269521145,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.03738339922258,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.71649968630509,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-301.8739235434797,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-73.41469977357862,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-104.8573359258735,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-126.12458789038948,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-37.28320597789598,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-176.4469426607215,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-108.76520437961462,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-42.61234043504839,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-99.44882572797111,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-86.1138193099367,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-141.6386871748426,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-106.18781204774135,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-129.2638083796915,"{0: 24, 1: 0, 2: 0, 3: 4, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-159.6846894069436,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-49.62842555190004,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-67.2931994306852,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-164.67565156798392,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-109.07180665193677,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,15,-115.07867583096046,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,0,-142.5036890588934,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,1,-160.48367290973638,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",20,0,-180.65315095402508,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
