trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9}",20,0,-84.90736216361977,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.81}",25,6,-38.60174442304201,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.7290000000000001}",20,0,-113.06608153906917,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.6561}",20,3,-76.61769969053837,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.9, 'e': 0.5904900000000001}",25,14,-65.6541699157517,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.531441}",25,0,-20.520958440297147,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.4782969000000001}",20,0,-26.831742068278263,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.4304672100000001}",25,0,-35.57913318538819,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.3874204890000001}",20,0,8.044727527148108,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.3486784401000001}",20,3,10.707908954047808,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.31381059609000006}",30,0,-115.86230677664626,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.2824295364810001}",25,8,-15.3549056441525,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.9, 'e': 0.2541865828329001}",25,14,20.104841437878765,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.2287679245496101}",25,7,-12.311315985088388,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.20589113209464907}",20,14,14.143084240944527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.18530201888518416}",20,6,19.763597385268348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.16677181699666577}",20,8,23.839429737027373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.15009463529699918}",25,0,-3.965293070026126,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.13508517176729928}",30,20,17.864612903890226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.12157665459056935}",25,3,30.25430502164071,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.10941898913151242}",25,17,16.900959575354214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.09847709021836118}",20,1,25.24861170975136,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.08862938119652507}",25,7,24.531454095334006,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.07976644307687256}",20,6,2.3192857537315676,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0717897987691853}",20,4,13.918187760830929,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.06461081889226677}",25,15,14.728195907165809,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.058149737003040096}",20,12,11.577854735543104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.05233476330273609}",25,15,6.842155000037891,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.047101286972462485}",25,12,22.366010466235725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.04239115827521624}",30,0,4.814032383359434,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.038152042447694615}",20,8,23.768888619720148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.03433683820292515}",30,13,29.174109934567152,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.030903154382632636}",20,8,26.420164046161563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.027812838944369374}",20,6,24.58421252013656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.025031555049932437}",20,4,22.897614737221396,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.022528399544939195}",20,13,11.905248435823337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.020275559590445275}",25,4,32.801303171109,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.01824800363140075}",20,14,12.4270094608305,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.016423203268260675}",30,24,9.61573021540823,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.014780882941434608}",20,10,18.615345893642417,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.013302794647291147}",20,9,17.99412571582554,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.011972515182562033}",20,13,12.728671508804492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.01077526366430583}",30,20,18.602489199560644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.009697737297875247}",35,13,34.38037918156758,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.008727963568087723}",25,15,14.230780732065611,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.00785516721127895}",25,11,25.489508369416562,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.007069650490151055}",25,11,26.128134548806038,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.00636268544113595}",20,4,22.395311580391034,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.0057264168970223555}",25,11,26.137216201427922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.00515377520732012}",35,20,21.743933366645642,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
