trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.01749501276232,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.95745834496822,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,12,-80.18357963502514,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.8791664919495,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.54522704456485,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.40592355228162,"{0: 13, 1: 4, 2: 10, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.10807368467229,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-269.46184644926444,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5764722958785,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-82.43356698428065,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.68406709970354,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.1248345060449,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.75467551738137,"{0: 12, 1: 3, 2: 1, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.36603332097839,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.77080433022087,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,4,-34.1708757929545,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.34780338552015,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.301865203244645,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.42274841571769,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.30919167604617,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.03643944088992,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-348.11363131627036,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.01629959299206,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.00822652826635,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.50332060435343,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.8947732949202,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.6803901711061,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-42.0224637751444,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.34790882928634,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.99808484271697,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
